IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.204.20.127,443,443,true,FRA,Europe,Frankfurt,203,4.64
34.118.20.131,443,443,true,FRA,Europe,Frankfurt,318,4.63
34.116.218.33,443,443,true,FRA,Europe,Frankfurt,329,4.61
34.89.171.165,443,443,true,FRA,Europe,Frankfurt,258,4.60
34.116.200.216,443,443,true,FRA,Europe,Frankfurt,310,4.59
34.34.50.184,443,443,true,FRA,Europe,Frankfurt,279,4.58
34.116.137.135,443,443,true,FRA,Europe,Frankfurt,249,4.56
34.32.235.221,443,443,true,FRA,Europe,Frankfurt,191,4.53
34.154.187.190,443,443,true,FRA,Europe,Frankfurt,252,4.53
34.118.14.66,443,443,true,FRA,Europe,Frankfurt,274,4.52
34.118.80.178,443,443,true,FRA,Europe,Frankfurt,244,4.50
34.116.149.184,443,443,true,FRA,Europe,Frankfurt,331,4.50
34.90.114.100,443,443,true,FRA,Europe,Frankfurt,283,4.49
34.118.110.163,443,443,true,FRA,Europe,Frankfurt,303,4.48
35.204.100.110,443,443,true,FRA,Europe,Frankfurt,262,4.47
34.116.240.170,443,443,true,FRA,Europe,Frankfurt,285,4.46
34.118.29.160,443,443,true,FRA,Europe,Frankfurt,306,4.44
34.116.239.87,443,443,true,FRA,Europe,Frankfurt,320,4.43
34.116.220.132,443,443,true,FRA,Europe,Frankfurt,284,4.42
34.65.135.199,443,443,true,FRA,Europe,Frankfurt,275,4.41
34.89.209.134,443,443,true,FRA,Europe,Frankfurt,222,4.40
34.65.7.59,443,443,true,FRA,Europe,Frankfurt,262,4.40
34.154.143.191,443,443,true,FRA,Europe,Frankfurt,257,4.39
34.118.100.60,443,443,true,FRA,Europe,Frankfurt,294,4.37
34.154.240.204,443,443,true,FRA,Europe,Frankfurt,265,4.37
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,258,4.35
34.154.240.154,443,443,true,FRA,Europe,Frankfurt,252,4.34
34.90.57.238,443,443,true,FRA,Europe,Frankfurt,266,4.34
34.118.32.141,443,443,true,FRA,Europe,Frankfurt,325,4.34
34.65.81.135,443,443,true,FRA,Europe,Frankfurt,193,4.29
34.154.101.92,443,443,true,FRA,Europe,Frankfurt,251,4.29
34.154.43.250,443,443,true,FRA,Europe,Frankfurt,228,4.24
34.154.102.69,443,443,true,FRA,Europe,Frankfurt,259,4.21
34.118.26.158,443,443,true,FRA,Europe,Frankfurt,245,4.18
34.154.177.18,443,443,true,FRA,Europe,Frankfurt,264,4.17
34.118.72.139,443,443,true,FRA,Europe,Frankfurt,265,4.17
34.116.184.196,443,443,true,FRA,Europe,Frankfurt,290,4.17
35.198.151.61,443,443,true,FRA,Europe,Frankfurt,264,4.16
34.116.141.181,443,443,true,FRA,Europe,Frankfurt,342,4.15
34.65.115.189,443,443,true,FRA,Europe,Frankfurt,252,4.15
34.118.12.209,443,443,true,FRA,Europe,Frankfurt,330,4.14
34.116.189.137,443,443,true,FRA,Europe,Frankfurt,257,4.13
34.116.171.221,443,443,true,FRA,Europe,Frankfurt,282,4.13
34.90.57.238,443,443,true,FRA,Europe,Frankfurt,202,4.13
34.118.67.56,443,443,true,FRA,Europe,Frankfurt,255,4.12
34.91.6.32,443,443,true,FRA,Europe,Frankfurt,209,4.10
34.118.87.123,443,443,true,FRA,Europe,Frankfurt,348,4.09
34.90.125.203,443,443,true,FRA,Europe,Frankfurt,255,4.09
34.118.48.35,443,443,true,FRA,Europe,Frankfurt,311,4.08
34.118.117.182,443,443,true,FRA,Europe,Frankfurt,340,4.08
34.116.137.135,443,443,true,FRA,Europe,Frankfurt,269,4.06
34.89.223.191,443,443,true,FRA,Europe,Frankfurt,195,4.05
34.91.66.231,443,443,true,FRA,Europe,Frankfurt,284,4.04
34.116.189.98,443,443,true,FRA,Europe,Frankfurt,218,4.04
34.116.176.79,443,443,true,FRA,Europe,Frankfurt,213,4.03
34.116.255.233,443,443,true,FRA,Europe,Frankfurt,319,4.02
34.118.9.27,443,443,true,FRA,Europe,Frankfurt,236,4.02
34.91.175.54,443,443,true,FRA,Europe,Frankfurt,200,4.00
34.116.152.58,443,443,true,FRA,Europe,Frankfurt,284,4.00
34.159.180.192,443,443,true,FRA,Europe,Frankfurt,292,3.98
35.246.217.201,443,443,true,FRA,Europe,Frankfurt,205,3.97
34.116.240.170,443,443,true,FRA,Europe,Frankfurt,258,3.96
34.116.152.220,443,443,true,FRA,Europe,Frankfurt,204,3.95
34.118.21.191,443,443,true,FRA,Europe,Frankfurt,340,3.93
34.150.180.124,443,443,true,IAD,North America,Ashburn,214,3.93
34.154.114.65,443,443,true,FRA,Europe,Frankfurt,219,3.92
34.65.7.59,443,443,true,FRA,Europe,Frankfurt,273,3.91
34.91.175.54,443,443,true,FRA,Europe,Frankfurt,263,3.90
34.89.171.165,443,443,true,FRA,Europe,Frankfurt,250,3.90
34.116.251.225,443,443,true,FRA,Europe,Frankfurt,254,3.88
34.116.236.130,443,443,true,FRA,Europe,Frankfurt,300,3.87
34.116.239.87,443,443,true,FRA,Europe,Frankfurt,269,3.85
34.147.62.133,443,443,true,FRA,Europe,Frankfurt,259,3.84
34.141.93.193,443,443,true,FRA,Europe,Frankfurt,270,3.83
34.116.189.98,443,443,true,FRA,Europe,Frankfurt,294,3.83
